ticker,fpedats,mean_forecast,std_forecast,num_analysts,actual_eps,anndats_act,SUE
AAPL,2010-09-30,0.11921375000000001,0.025530650305381507,320,0.1657,2010-10-18,1.8208016421031517
AAPL,2010-12-31,0.17037526132404182,0.019878694568460916,287,0.2296,2011-01-18,2.979307241327748
AAPL,2011-03-31,0.15355841584158414,0.024440528985371437,303,0.2286,2011-04-20,3.0703747943970865
AAPL,2011-06-30,0.17433624595469255,0.026346350325458335,309,0.2782,2011-07-19,3.942244476455795
AAPL,2011-09-30,0.2230614420062696,0.028986449650187936,319,0.2518,2011-10-18,0.991448015902289
AAPL,2011-12-31,0.31054363636363636,0.04195006313401181,275,0.4954,2012-01-24,4.406581297525816
AAPL,2012-03-31,0.2913462295081967,0.04517896351135463,305,0.4393,2012-04-24,3.2748376455032826
AAPL,2012-06-30,0.3261548076923077,0.04224523233772488,312,0.3329,2012-07-24,0.1596675396117737
AAPL,2012-09-30,0.3406434285714286,0.03740209683707672,350,0.3096,2012-10-25,-0.8299916634795523
AAPL,2012-12-31,0.5274993730407523,0.049995263922696,319,0.4932,2013-01-23,-0.6860524447633062
AAPL,2013-03-31,0.4355226837060703,0.05693109839595153,313,0.3604,2013-04-23,-1.3195368756737775
AAPL,2013-06-30,0.3612366972477064,0.07129106242507821,327,0.2668,2013-07-23,-1.324663906460261
AAPL,2013-09-30,0.34164597014925374,0.0675331196649151,335,0.295,2013-10-28,-0.6907125034457329
AAPL,2013-12-31,0.5026124999999999,0.03743036163909535,264,0.5179,2014-01-27,0.408425121493686
AAPL,2014-03-31,0.37776264150943395,0.02940919126522836,265,0.415,2014-04-23,1.2661809756935825
AAPL,2014-06-30,0.31358115942028986,0.02010999950535562,276,0.32,2014-07-22,0.31918651106881973
AAPL,2014-09-30,0.3368267716535433,0.025364284898846744,254,0.355,2014-10-20,0.7164888905376937
AAPL,2014-12-31,0.5927268085106383,0.04667431169550869,235,0.765,2015-01-27,3.690963727825878
AAPL,2015-03-31,0.4807650442477876,0.04580390055440717,226,0.5825,2015-04-27,2.221098083805521
AAPL,2015-06-30,0.40271666666666667,0.04013519133741594,234,0.4625,2015-07-21,1.489548980363287
AAPL,2015-09-30,0.44570958904109587,0.03148219606533816,219,0.49,2015-10-27,1.4068399442968904
AAPL,2015-12-31,0.7956514705882354,0.048102368752485705,204,0.82,2016-01-26,0.5061815050533526
AAPL,2016-03-31,0.5683479381443299,0.05752614923204625,194,0.475,2016-04-26,-1.6227044464211828
AAPL,2016-06-30,0.44478857142857137,0.06457116887298898,210,0.355,2016-07-26,-1.39053656602043
AAPL,2016-09-30,0.4636432558139535,0.05963921621588827,215,0.4175,2016-10-25,-0.77370661020962
AAPL,2016-12-31,0.8110556650246307,0.06028374988275738,203,0.84,2017-01-31,0.4801349456804127
AAPL,2017-03-31,0.53321875,0.03613318966390819,192,0.525,2017-05-02,-0.227457085201899
AAPL,2017-06-30,0.41760317460317464,0.03192204084948118,189,0.4175,2017-08-01,-0.003232080419330001
AAPL,2017-09-30,0.47387029702970296,0.03276864489826436,202,0.5175,2017-11-02,1.3314466651200434
AAPL,2017-12-31,0.9442876923076923,0.06094479462652895,195,0.9725,2018-02-01,0.4629157890381517
AAPL,2018-03-31,0.6859714285714286,0.07159156016723962,196,0.6825,2018-05-01,-0.048489354936800205
AAPL,2018-06-30,0.5429666666666667,0.052592529048098885,198,0.585,2018-07-31,0.7992263177701792
AAPL,2018-09-30,0.6590205405405406,0.04820981103614707,185,0.7275,2018-11-01,1.4204465437152296
AAPL,2018-12-31,1.1652048076923078,0.07750008368991292,208,1.045,2019-01-29,-1.5510281017664662
AAPL,2019-03-31,0.7131325123152709,0.08657915125921443,203,0.615,2019-04-30,-1.1334427617737455
AAPL,2019-06-30,0.5841898550724638,0.06387326684121596,207,0.545,2019-07-30,-0.6135564534359379
AAPL,2019-09-30,0.7073644549763033,0.05530322660923152,211,0.7575,2019-10-30,0.9065573221965996
AAPL,2019-12-31,1.12000375,0.057800757201085746,160,1.2475,2020-01-28,2.2057885774133967
AAPL,2020-03-31,0.6808387559808612,0.07479232966883133,209,0.6375,2020-04-30,-0.5794545533313166
AAPL,2020-06-30,0.5816253393665158,0.07791570672847635,221,0.645,2020-07-30,0.8133746492775152
AAPL,2020-09-30,0.762287614678899,0.08525742468200914,218,0.73,2020-10-29,-0.3787073653623077
AAPL,2020-12-31,1.3643834196891194,0.10692640057688355,193,1.68,2021-01-27,2.951717991142347
AAPL,2021-03-31,0.88346,0.10584824390727991,150,1.4,2021-04-28,4.880005382540634
AAPL,2021-06-30,0.8329862068965518,0.12040070460566343,145,1.3,2021-07-27,3.87882940247744
AAPL,2021-09-30,1.0736323529411766,0.1528206311854003,136,1.24,2021-10-28,1.0886465117199258
AAPL,2021-12-31,1.8320625,0.14164625912894843,112,2.1,2022-01-27,1.8915960198855786
AAPL,2022-03-31,1.3197672413793102,0.12697424304087074,116,1.52,2022-04-28,1.5769557181470137
AAPL,2022-06-30,1.1878650793650793,0.08352267746422917,126,1.2,2022-07-28,0.14528893233957585
AAPL,2022-09-30,1.310080882352941,0.07797426499928461,136,1.29,2022-10-27,-0.2575321787659719
AAPL,2022-12-31,2.1074452054794524,0.15094164347679134,146,1.88,2023-02-02,-1.5068419836996425
AAPL,2023-03-31,1.4797697841726618,0.10734701392786124,139,1.52,2023-05-04,0.3747679078839911
AAPL,2023-06-30,1.2365602836879432,0.08542727640633675,141,1.26,2023-08-03,0.2743821095333209
AAPL,2023-09-30,1.393172932330827,0.08790253825395379,133,1.46,2023-11-02,0.7602404776538643
ABBV,2013-03-31,0.6679999999999999,0.016987390281365394,15,0.68,2013-04-26,0.7064063285320362
ABBV,2013-06-30,0.785,0.011019463300386808,22,0.82,2013-07-26,3.1761982454055944
ABBV,2013-09-30,0.7732258064516129,0.014233082770829759,31,0.82,2013-10-25,3.2863009582329745
ABBV,2013-12-31,0.8613421052631579,0.03682557595064508,38,0.82,2014-01-31,-1.1226465356187798
ABBV,2014-03-31,0.6873913043478261,0.019773120254147524,23,0.71,2014-04-25,1.1434055607602713
ABBV,2014-06-30,0.757,0.026681989645237703,29,0.82,2014-07-25,2.3611432594662
ABBV,2014-09-30,0.7823,0.02329212478334851,40,0.89,2014-10-31,4.623880431766986
ABBV,2014-12-31,0.87178,0.04182631239020802,50,0.89,2015-01-30,0.4356109577631689
ABBV,2015-03-31,0.8611000000000001,0.04151910280143221,40,0.94,2015-04-23,1.900330081248244
ABBV,2015-06-30,1.0552280701754386,0.04251933070627145,57,1.08,2015-07-24,0.582603945384015
ABBV,2015-09-30,1.1141014492753625,0.06283221001616754,69,1.13,2015-10-30,0.25303185612198764
ABBV,2015-12-31,1.173815789473684,0.06709311152447102,76,1.13,2016-01-29,-0.6530594345397607
ABBV,2016-03-31,1.1423061224489797,0.04181267953704984,49,1.15,2016-04-28,0.1840082395150679
ABBV,2016-06-30,1.2119027777777778,0.02818907975666092,72,1.26,2016-07-29,1.706235983487795
ABBV,2016-09-30,1.2422527472527474,0.05645757372804499,91,1.21,2016-10-28,-0.5712740580760386
ABBV,2016-12-31,1.24347311827957,0.08209096113430052,93,1.2,2017-01-27,-0.5295725336733255
ABBV,2017-03-31,1.2605526315789475,0.03687135954978868,38,1.28,2017-04-27,0.5274383331266125
ABBV,2017-06-30,1.3845714285714283,0.03339348738901037,49,1.42,2017-07-28,1.0609425429531794
ABBV,2017-09-30,1.3938088235294117,0.025574157521287236,68,1.41,2017-10-27,0.6331069344947575
ABBV,2017-12-31,1.4382117647058823,0.03821496033332108,85,1.48,2018-01-26,1.0935046099650385
ABBV,2018-03-31,1.6562,0.16203113555390797,55,1.87,2018-04-26,1.3194994855101085
ABBV,2018-06-30,1.8280493827160493,0.16111315132807788,81,2.0,2018-07-27,1.0672661782513597
ABBV,2018-09-30,1.920022727272727,0.11811945806718573,88,2.14,2018-11-02,1.8623288349507257
ABBV,2018-12-31,1.9523009708737864,0.07529052683054294,103,1.9,2019-01-25,-0.6946553979028564
ABBV,2019-03-31,2.0519714285714286,0.059466493637562165,35,2.14,2019-04-25,1.4803053962638228
ABBV,2019-06-30,2.1800444444444445,0.04885086560857504,45,2.26,2019-07-26,1.6367275084992625
ABBV,2019-09-30,2.2431219512195124,0.05565662364981886,41,2.33,2019-11-01,1.5609651301722542
ABBV,2019-12-31,2.2218541666666667,0.05055352738638181,48,2.21,2020-02-07,-0.23448742905841255
ABBV,2020-03-31,2.2207999999999997,0.09004258251886531,25,2.42,2020-05-01,2.212286614039139
ABBV,2020-06-30,2.2945652173913045,0.19401840143815813,46,2.34,2020-07-31,0.23417769794983784
ABBV,2020-09-30,2.67140625,0.16855941618822212,64,2.83,2020-10-30,0.9408774281877326
ABBV,2020-12-31,2.8419277108433736,0.1870662973081957,83,2.92,2021-02-03,0.4173509086353518
ABBV,2021-03-31,2.8263829787234043,0.20439120133273514,47,2.95,2021-04-30,0.6048059822074029
ABBV,2021-06-30,2.9501724137931036,0.3066599429810798,58,3.09,2021-07-30,0.45596951739967984
ABBV,2021-09-30,3.128191780821918,0.3016608036969046,73,3.33,2021-10-29,0.6689905241413135
ABBV,2021-12-31,3.2511627906976748,0.25114522915753545,86,3.31,2022-02-02,0.234275640033833
ABBV,2022-03-31,3.180275,0.09182703570942216,40,3.24,2022-04-29,0.6504075791904498
ABBV,2022-06-30,3.433,0.10255903099537213,63,3.37,2022-07-29,-0.6142803748101182
